new_word,freq,ratio,category,week,date1,date2
남아프리카공화국,10,0.000977326035965598,사회,1주차,20220102,20220108
부스터샷,52,0.0050820953870211105,사회,1주차,20220102,20220108
경제협력개발기구,22,0.0021501172791243157,사회,1주차,20220102,20220108
행정망,6,0.0005863956215793589,사회,1주차,20220102,20220108
파견업체,7,0.0006841282251759187,사회,1주차,20220102,20220108
선별검사소,49,0.004788897576231431,사회,1주차,20220102,20220108
위드코로나,6,0.0005863956215793589,사회,1주차,20220102,20220108
국내감염,15,0.0014659890539483972,사회,1주차,20220102,20220108
고용안전망,10,0.000977326035965598,사회,1주차,20220102,20220108
방역지원,25,0.0024433150899139952,사회,1주차,20220102,20220108
친수시설,6,0.0005863956215793589,사회,1주차,20220102,20220108
한국전력공사,14,0.0013682564503518374,사회,1주차,20220102,20220108
교통인프라,6,0.0005863956215793589,사회,1주차,20220102,20220108
항공정비산업,6,0.0005863956215793589,사회,1주차,20220102,20220108
창원특례시,8,0.0007818608287724785,사회,1주차,20220102,20220108
절반가량,29,0.0028342455043002344,사회,1주차,20220102,20220108
양해각서,7,0.0006841282251759187,사회,1주차,20220102,20220108
교육플랫폼,6,0.0005863956215793589,사회,1주차,20220102,20220108
임시선별검사소,33,0.003225175918686474,사회,1주차,20220102,20220108
그분들,10,0.000977326035965598,사회,1주차,20220102,20220108
일반시,11,0.0010750586395621578,사회,1주차,20220102,20220108
일반시민,9,0.0008795934323690383,사회,1주차,20220102,20220108
공지사항,10,0.000977326035965598,사회,1주차,20220102,20220108
해양항만,8,0.0007818608287724785,사회,1주차,20220102,20220108
집중치료,8,0.0007818608287724785,사회,1주차,20220102,20220108
치료프로그램,17,0.0016614542611415168,사회,1주차,20220102,20220108
프로그램실,7,0.0006841282251759187,사회,1주차,20220102,20220108
의료인력,14,0.0013682564503518374,사회,1주차,20220102,20220108
교육대학원,11,0.0010750586395621578,사회,1주차,20220102,20220108
서초동,8,0.0007818608287724785,사회,1주차,20220102,20220108
사고신고,23,0.0022478498827208757,사회,1주차,20220102,20220108
기본안전진단,23,0.0022478498827208757,사회,1주차,20220102,20220108
긴급안전점검,22,0.0021501172791243157,사회,1주차,20220102,20220108
있었기,21,0.002052384675527756,사회,1주차,20220102,20220108
그럼에,61,0.005961688819390148,사회,1주차,20220102,20220108
경찰행정학과,9,0.0008795934323690383,사회,1주차,20220102,20220108
상황임,7,0.0006841282251759187,사회,1주차,20220102,20220108
한국연구재단,9,0.0008795934323690383,사회,1주차,20220102,20220108
보호조치,7,0.0006841282251759187,사회,1주차,20220102,20220108
모집인원,27,0.002638780297107115,사회,1주차,20220102,20220108
고발사주,10,0.000977326035965598,사회,1주차,20220102,20220108
그밖,9,0.0008795934323690383,사회,1주차,20220102,20220108
판사사찰,6,0.0005863956215793589,사회,1주차,20220102,20220108
교육활동,20,0.001954652071931196,사회,1주차,20220102,20220108
교육회복,9,0.0008795934323690383,사회,1주차,20220102,20220108
연쇄감염,16,0.001563721657544957,사회,1주차,20220102,20220108
유족으,27,0.002638780297107115,사회,1주차,20220102,20220108
지역내,14,0.0013682564503518374,사회,1주차,20220102,20220108
복지체계,7,0.0006841282251759187,사회,1주차,20220102,20220108
복지정책과,19,0.0018569194683346365,사회,1주차,20220102,20220108
장애인보호구역,8,0.0007818608287724785,사회,1주차,20220102,20220108
교통법규,11,0.0010750586395621578,사회,1주차,20220102,20220108
보후구역,8,0.0007818608287724785,사회,1주차,20220102,20220108
식품제조업체,7,0.0006841282251759187,사회,1주차,20220102,20220108
QR체크,17,0.0016614542611415168,사회,1주차,20220102,20220108
현장평가,6,0.0005863956215793589,사회,1주차,20220102,20220108
C씨,50,0.0048866301798279905,사회,1주차,20220102,20220108
인과관계,18,0.0017591868647380765,사회,1주차,20220102,20220108
경로불명,9,0.0008795934323690383,사회,1주차,20220102,20220108
선제검사,22,0.0021501172791243157,사회,1주차,20220102,20220108
증상발현,8,0.0007818608287724785,사회,1주차,20220102,20220108
